id,question,category
1,"Décrivez une situation où vous avez utilisé vos forces naturelles pour résoudre un problème complexe. Qu'est-ce qui vous a permis de réussir ?","Problem Solving"
2,"Quelles sont les activités qui vous donnent le plus d'énergie et de satisfaction ? Comment ces activités reflètent-elles vos forces principales ?","Energy & Motivation"
3,"Pensez à un moment où vous avez reçu des compliments ou de la reconnaissance. Quelles compétences ou qualités ont été mises en avant ?","Recognition & Feedback"
4,"Dans quels domaines les autres viennent-ils naturellement vous demander de l'aide ou des conseils ? Que cela révèle-t-il sur vos forces ?","Natural Expertise"
5,"Décrivez une réalisation dont vous êtes particulièrement fier(e). Quelles forces personnelles avez-vous mobilisées pour l'accomplir ?","Personal Achievement"
6,"Quels sont les défis que vous trouvez stimulants plutôt qu'épuisants ? Comment vos forces vous aident-elles à les aborder ?","Challenge Response"
7,"Pensez à vos relations interpersonnelles les plus réussies. Quelles qualités apportez-vous naturellement dans ces relations ?","Interpersonal Strengths"
8,"Dans quelles situations vous sentez-vous le plus authentique et aligné(e) avec vous-même ? Quelles forces exprimez-vous alors ?","Authenticity"
9,"Quels sont les apprentissages qui vous viennent le plus facilement ? Comment cela reflète-t-il vos aptitudes naturelles ?","Learning Style"
10,"Imaginez votre environnement de travail idéal. Comment pourriez-vous y utiliser vos forces de manière optimale ?","Future Application"
